,Player,Points,Games
663,Chris Mihm,374.4,76.0
664,Chris Mills,635.7,80.0
665,Chris Morris,744.0,80.0
666,Chris Mullin*,1119.4375,82.0
667,Chris Munk,13.0,11.0
668,Chris Owens,4.0,1.0
669,Chris Paul,1300.8333333333333,82.0
670,Chris Porter,440.0,51.0
671,Chris Quinn,182.0,66.0
672,Chris Richard,67.5,52.0
673,Chris Robinson,128.0,41.0
674,Chris Singleton,204.0,66.0
675,Chris Smith,285.0,80.0
676,Chris Taft,47.0,17.0
677,Chris Washburn,78.0,37.0
678,Chris Webber,1009.0526315789474,76.0
679,Chris Welp,84.8,72.0
680,Chris Whitney,314.84615384615387,82.0
681,Chris Wilcox,414.8666666666667,82.0
682,Chris Wright,40.0,24.0
683,Christian Eyenga,84.25,44.0
684,Christian Laettner,768.5882352941177,82.0
685,Christian Wood,48.0,17.0
686,Chubby Cox,29.0,7.0
687,Chuck Aleksinas,377.0,74.0
688,Chuck Cooper,378.375,70.0
689,Chuck Gilmur,234.5,68.0
690,Chuck Grigsby,16.0,7.0
691,Chuck Hayes,195.53846153846155,82.0
692,Chuck Mencel,491.5,72.0
693,Chuck Mrazovich,85.0,25.0
694,Chuck Nevitt,27.272727272727273,43.0
695,Chuck Noble,468.0,75.0
696,Chuck Osborne,5.0,4.0
697,Chuck Person,1066.0,82.0
698,Chuck Share,499.27272727272725,72.0
699,Chuck Terry,146.33333333333334,67.0
700,Chuck Williams,244.5,73.0
701,Chuckie Williams,37.0,22.0
702,Chucky Atkins,481.0,82.0
703,Chucky Brown,234.04761904761904,82.0
704,Clarence Glover,65.0,25.0
